time,ax,ay,az,gx,gy,gz,temp,press,light
83,-0.02,-0.00,-1.00,0.16,0.47,-0.47,272.17,207282.77,-1.00
85,-0.08,0.02,-1.00,-1.94,4.07,12.32,272.17,207282.77,-1.00
87,-0.02,-0.03,-1.00,0.49,-0.40,47.48,272.17,207282.77,8.34
89,0.02,-0.12,-0.86,-22.69,44.38,12.44,272.17,207282.77,-1.00
91,0.06,-0.04,-0.88,-3.79,-20.39,0.47,272.17,207282.77,-1.00
93,-0.00,0.00,-0.99,4.30,1.70,-0.04,272.17,207282.77,-1.00
95,0.07,-0.03,-0.93,6.85,34.04,2.33,272.17,207282.77,46.16
97,0.13,-0.01,-0.86,2.69,8.80,6.48,272.17,207282.77,-1.00
99,0.02,-0.09,-0.86,-2.01,-64.50,0.73,272.17,207282.77,-1.00
101,-0.03,0.02,-1.04,-7.86,32.97,4.18,272.17,207282.77,-1.00
103,0.14,0.01,-0.94,0.60,31.56,-0.65,272.17,207282.77,59.70
105,0.14,0.03,-0.88,3.23,-21.35,0.68,272.17,207282.77,-1.00
107,-0.02,-0.09,-0.86,7.18,-80.12,-1.50,272.17,207282.77,-1.00
109,0.06,-0.05,-1.13,-5.49,42.12,2.05,272.17,207282.77,-1.00
111,0.22,-0.01,-0.91,-0.34,38.33,-1.96,272.17,207282.77,62.18
113,0.18,-0.00,-0.85,4.74,-36.70,3.16,272.17,207282.77,-1.00
115,-0.03,-0.02,-0.91,-9.24,-87.53,0.02,272.17,207282.77,-1.00
117,0.07,-0.07,-1.14,-4.49,46.65,-1.85,272.17,207282.77,-1.00
119,0.21,-0.03,-0.87,-1.56,37.72,-1.61,272.17,207282.77,61.22
121,0.17,-0.02,-0.88,1.70,-38.52,3.47,272.17,207282.77,-1.00
123,0.07,-0.09,-1.08,-16.84,0.88,32.42,272.17,207282.77,-1.00